DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder	300 European ancestry cases, up to 1,538 European ancestry controls, 444 African American cases, up to 2,936 African American controls	207 European ancestry cases, up to 1,692 European ancestry controls, 89 African American cases, up to 655 African American controls	4q32.3	4	165951384	TLL1	TLL1			7092			rs6812849-?	rs6812849	0	6812849	intron_variant	0	NR	3E-9	8.522878745280337	(Whole cohort; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002038	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder	300 European ancestry cases, up to 1,538 European ancestry controls, 444 African American cases, up to 2,936 African American controls	207 European ancestry cases, up to 1,692 European ancestry controls, 89 African American cases, up to 655 African American controls	4q32.3	4	165951384	TLL1	TLL1			7092			rs6812849-?	rs6812849	0	6812849	intron_variant	0	NR	1E-6	6.0	(Trauma Exposed controls; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002038	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	1q42.2	1	232308709	SIPA1L2	LOC101929902			101929902			rs9725031-?	rs9725031	0	9725031	intergenic_variant	0		8E-6	5.096910013008056		1.13	[0.64-1.62] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	3p24.3	3	20042389	KAT2B	KAT2B			8850			rs1915919-?	rs1915919	0	1915919	intron_variant	0		8E-6	5.096910013008056		0.74	[0.43-1.05] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	7q36.2	7	154801156	DPP6	DPP6			1804			rs71534169-?	rs71534169	0	71534169	intron_variant	0		4E-6	5.3979400086720375		1.63	[0.94-2.32] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	8p22	8	12977091	KIAA1456	KIAA1456			57604			rs2460905-?	rs2460905	0	2460905	intron_variant	0		5E-6	5.301029995663981		1.38	[0.79-1.97] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	8q24.22	8	130795923	ADCY8	ADCY8			114			rs263232-?	rs263232	0	263232	intron_variant	0		6E-7	6.221848749616356		1.43	[0.88-1.98] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	11q14.2	11	88216364	MIR3166	MIR3166 - CTSC	100423040	1075		39771	77228	rs682457-?	rs682457	0	682457	intergenic_variant	1		1E-6	6.0		1.11	[0.68-1.54] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	15q25.2	15	81901505	MEX3B	LOC102724001			102724001			rs77963519-?	rs77963519	0	77963519	intergenic_variant	0		4E-6	5.3979400086720375		1.56	[0.91-2.21] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	7p12.1	7	51938719	COBL	LOC105375278 - LOC107986738	105375278	107986738		221051	77994	rs406001-?	rs406001	0	406001	intergenic_variant	1	NR	2E-8	7.698970004336019	(Whole cohort; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	4q32.3	4	165951384	TLL1	TLL1			7092			rs6812849-?	rs6812849	0	6812849	intron_variant	0	NR	1E-7	7.0	(Whole cohort; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
