DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	17q22	17	56533930	ANKFN1, NOG	ANKFN1 - RPL39P33	162282	100271521		16914	39065	rs17760268-C	rs17760268	0	17760268	intergenic_variant	1		4E-6	5.3979400086720375				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	21p11.2	21	10540506	BAGE2, TPTE, BAGE	TPTE			7179			rs10439884-A	rs10439884	0	10439884	intron_variant	0		2E-6	5.698970004336019				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	22q11.1	22	15473564	CCT8L2, psiTPTE22	BNIP3P2 - YME1L1P1	100421754	23749		123545	16420	rs4911642-C	rs4911642	0	4911642	intergenic_variant	1		5E-6	5.301029995663981				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	20q13.2	20	54798000	DOK5	DOK5 - RNU4ATAC7P	55816	106480539		146829	61688	rs157640-G	rs157640	0	157640	intergenic_variant	1		5E-6	5.301029995663981				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	14q13.1	14	34375170	EAPP, SNX6, C14orf147	LOC102724945 - LOC100421787	102724945	100421787		171465	41597	rs1958589-C	rs1958589	0	1958589	intron_variant	1		4E-6	5.3979400086720375				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	10q26.11	10	117854099	EMX2OS, RAB11FIP2, EMX2	LOC102724627 - LOC105378504	102724627	105378504		99425	80726	rs10886159-C	rs10886159	0	10886159	intergenic_variant	1		7E-7	6.154901959985743				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	6p21.32	6	32240547	HLA	NOTCH4 - LOC101929163	4855	101929163		16480	14626	rs424232-C	rs424232	0	424232	intergenic_variant	1		5E-21	20.30102999566398				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	16q22.2	16	71013581	HYDIN	HYDIN			54768			rs195656-A	rs195656	0	195656	intron_variant	0		7E-6	5.154901959985743				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	11p15.5	11	2027258	SYT8, TNNI2, LSP1, H19, ASCL2, IGF2, INS, MRPL23, TH, IGF2AS, TNNT3	MRPL23 - INS-IGF2	6150	723961		14082	101854	rs4930144-A	rs4930144	0	4930144	intergenic_variant	1		7E-6	5.154901959985743				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	19q13.33	19	50873907	KLK15, KLK3, KLK2, KLKP1, KLK4	KLK2			3817			rs2664156-C	rs2664156	0	2664156	non_coding_transcript_exon_variant	0		6E-6	5.221848749616356				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
